working for  output_00041
halo           mass           
-------------- -------------- 
5218712        3.574926E-02   
1307785        2.398781E-02   
1727381        1.869579E-02   
4957351        1.299633E-02   
3566346        1.250643E-02   
6294856        1.102411E-02   
809510         6.963530E-03   
5473039        6.905761E-03   
3226280        6.138829E-03   
1614238        5.622518E-03   
